Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.31,Scholastic Press,Hardcover,391,2009,2009,,2012/05/28,to-read,to-read (#13),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.81,Back Bay Books,Paperback,277,2001,1951,,2012/05/28,to-read,to-read (#12),to-read,,,,0,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",0,4.12,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,,2012/05/28,to-read,to-read (#11),to-read,,,,0,0
14050,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""0965818675""","=""9780965818674""",0,3.99,MacAdam/Cage,Paperback,537,2003,2003,,2012/05/28,to-read,to-read (#10),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.40,Penguin Books,Paperback,601,2002,1952,,2012/05/28,to-read,to-read (#9),to-read,,,,0,0
11149,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""0060652896""","=""9780060652890""",0,4.25,HarperCollins,Hardcover,224,2001,1942,,2012/03/11,to-read,to-read (#8),to-read,,,,0,0
17267,The Great Divorce,C.S. Lewis,"Lewis, C.S.",,"=""0006280560""","=""9780006280569""",0,4.30,HarperCollins,Paperback,160,2002,1946,,2012/03/11,to-read,to-read (#8),to-read,,,,0,0
32377,I Don't Want to Be Crazy,Samantha Schutz,"Schutz, Samantha",,"=""043980518X""","=""9780439805186""",0,3.78,Push,Hardcover,280,2006,2006,,2012/01/14,,,read,,,,1,1
10843755,Triangles,Ellen Hopkins,"Hopkins, Ellen",,"=""1451626339""","=""9781451626339""",0,3.97,Atria Books,Hardcover,529,2011,2011,,2011/10/12,,,read,,,,1,1
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,4.33,Scholastic Press,Hardcover,374,2008,2008,,2011/10/09,,,read,,,,1,0
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,"Miller, Donald",,"=""0785263705""","=""9780785263708""",0,3.90,Thomas Nelson,Paperback,243,2003,2003,2012/01/04,2011/10/24,,,read,,,,1,0
9917945,"Perfect (Impulse, #2)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416983244""","=""9781416983248""",4,4.33,Margaret K. McElderry Books,Hardcover,622,2011,2011,2011/12/20,2011/10/09,,,read,,,,1,1
1958785,Do Hard Things: A Teenage Rebellion Against Low Expectations,Alex  Harris,"Harris, Alex","Brett Harris, Chuck Norris","=""1601421125""","=""9781601421128""",4,4.04,Multnomah,Hardcover,242,2008,2008,2011/11/21,2011/10/09,,,read,,,,1,1
8664957,"Smoke (Burned, #2)",Ellen Hopkins,"Hopkins, Ellen",,"=""""","=""""",0,4.33,Margaret K. McElderry,Kindle Edition,543,2013,2013,,2011/10/12,to-read,to-read (#7),to-read,,,,0,0
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,"Paulsen, Gary",,"=""0689840926""","=""9780689840920""",3,3.77,Atheneum Books for Young Readers: Richard Jackson Books,Hardcover,208,2000,1987,,2011/10/10,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2011/10/10,,,read,,,,1,1
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Jim Kay, Mary GrandPré","=""""","=""""",5,4.56,Scholastic,Paperback,734,2002,2000,,2011/10/10,,,read,,,,1,1
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2011/10/10,,,read,,,,1,1
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2011/10/10,,,read,,,,1,1
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2011/10/10,,,read,,,,1,1
201114,Sold,Patricia McCormick,"McCormick, Patricia",,"=""0786851716""","=""9780786851713""",4,4.23,"Little, Brown Books for Young Readers",Hardcover,268,2006,2006,2011/10/10,2011/10/09,,,read,,,,1,0
8109882,City on Our Knees,TobyMac,"TobyMac, TobyMac",,"=""0764208659""","=""9780764208652""",4,4.12,Bethany House,Hardcover,223,2010,2010,2011/10/10,2011/10/09,,,read,,,,1,1
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0747560595""","=""9780747560593""",0,3.82,Bloomsbury Publishing PLC,Paperback,250,2002,1993,,2011/10/09,to-read,to-read (#7),to-read,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",3,3.72,Anchor Books,Paperback,209,1994,1958,,2011/10/09,,,read,,,,1,0
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,"=""0679734775""","=""9780679734772""",4,3.69,Vintage,Paperback,110,2009,1984,,2011/10/09,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""""","=""""",0,4.15,David Fickling Books,Hardcover,240,2006,2006,,2011/10/09,to-read,to-read (#5),to-read,,,,0,0
991565,Snitch,Allison van Diepen,"Diepen, Allison van",,"=""1416950303""","=""9781416950301""",3,4.16,Simon Pulse,Paperback,297,2007,2007,,2011/10/09,,,read,,,,1,1
7171876,"Fallout (Crank, #3)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416950095""","=""9781416950097""",3,4.27,Margaret K. McElderry Books,Hardcover,665,2010,2010,,2011/10/09,,,read,,,,1,0
5510384,"Tricks (Tricks, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416950079""","=""9781416950073""",5,4.29,Margaret K. McElderry Books,Hardcover,627,2009,2009,,2011/10/09,,,read,,,,1,1
270807,"Burned (Burned, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416903542""","=""9781416903543""",4,4.25,Margaret K. McElderry Books,Hardcover,544,2006,2006,,2011/10/09,,,read,,,,1,1
270730,"Crank (Crank, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""0689865198""","=""9780689865190""",4,4.16,Margaret K. McElderry Books,Paperback,537,2004,2004,,2011/10/09,,,read,,,,1,1
270805,"Impulse (Impulse, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416903569""","=""9781416903567""",5,4.26,Margaret K. McElderry Books,Hardcover,666,2007,2007,,2011/10/09,,,read,,,,1,1
662597,Cut,Patricia McCormick,"McCormick, Patricia",,"=""0439324599""","=""9780439324595""",4,3.76,Push,Paperback,151,2002,2000,,2011/10/09,,,read,,,,1,1
270804,"Glass (Crank, #2)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416940901""","=""9781416940906""",3,4.29,Margaret K. McElderry Books,Hardcover,681,2007,2007,,2011/10/09,,,read,,,,1,1
46799,Go Ask Alice,Beatrice Sparks,"Sparks, Beatrice","Selçuk Budak, Anonymous, Carlo Corsi","=""1416914633""","=""9781416914631""",4,3.75,Simon Pulse,Paperback,213,2006,1971,,2011/10/09,,,read,,,,1,1
1661957,"Wake (Wake, #1)",Lisa McMann,"McMann, Lisa",,"=""1416953574""","=""9781416953579""",3,3.75,Simon & Schuster Books for Young Readers,Hardcover,210,2008,2008,,2011/10/09,,,read,,,,1,1
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",0,3.89,Random House Children's Books,Paperback,270,2003,2003,,2011/10/09,to-read,to-read (#3),to-read,,,,0,0
764347,"Unwind (Unwind, #1)",Neal Shusterman,"Shusterman, Neal",,"=""1416912045""","=""9781416912040""",5,4.17,Simon & Schuster Books for Young Readers,Hardcover,337,2007,2007,,2011/10/09,,,read,,,,1,1
5152478,Wintergirls,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""067001110X""","=""9780670011100""",4,3.96,Viking Books for Young Readers,Hardcover,278,2009,2009,,2011/10/09,,,read,,,,1,1
4570768,Willow,Julia Hoban,"Hoban, Julia",,"=""0803733569""","=""9780803733565""",4,3.91,Dial Books,Hardcover,329,2009,2009,,2011/10/09,,,read,,,,1,0
123106,Twisted,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""0670061018""","=""9780670061013""",4,3.82,Viking Books for Young Readers,Hardcover,250,2007,2007,,2011/10/09,,,read,,,,1,1
2241059,Identical,Ellen Hopkins,"Hopkins, Ellen",,"=""1416950052""","=""9781416950059""",4,4.30,Margaret K. McElderry Books,Hardcover,565,2008,2008,,2011/10/09,,,read,,,,1,1
1217100,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,"=""1595141715""","=""9781595141712""",4,3.86,Razorbill,Hardcover,288,2007,2007,,2011/10/09,,,read,,,,1,1
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,"=""0439244196""","=""9780439244190""",4,3.99,Scholastic,Paperback,272,2000,1998,,2011/10/09,,,read,,,,1,1
439288,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""014131088X""","=""9780141310886""",4,4.04,Puffin,Paperback,202,2001,1999,,2011/10/09,,,read,,,,1,1
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2011/10/09,,,read,,,,1,1
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",4,4.33,Riverhead Books,Paperback,371,2004,2003,,2011/10/09,,,read,,,,1,0
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Signet,Mass Market Paperback,325,1963,1962,,2011/10/09,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.27,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2011/10/09,,,read,,,,1,0
4989,The Red Tent,Anita Diamant,"Diamant, Anita",,"=""0312353766""","=""9780312353766""",0,4.19,St. Martin's Press,Hardcover,324,1997,1997,,2011/10/09,to-read,to-read (#2),to-read,,,,0,0
29797,The Pilgrim's Progress,John Bunyan,"Bunyan, John",,"=""""","=""""",0,4.03,Dover Publications,Paperback,324,2003,1684,,2011/10/09,to-read,to-read (#1),to-read,,,,0,0
